business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,importance,proximity,popularity,osm_restaurant,osm_bar,osm_cafe,osm_fast_food,osm_college,osm_library,osm_school,osm_university,osm_bus_station,osm_parking,osm_taxi,osm_bank,osm_hospital,osm_social_facility,osm_arts_centre,osm_cinema,osm_casino,osm_theatre,osm_place_of_worship,osm_police
TKKX9bllRBMzp0NYr441PQ,Mi'Hito Sushi Laboratory,285 College Street,Toronto,ON,M5T 1S2,43.65762120000001,-79.40088490000002,4.0,51,1,"{""Caters"": ""False"", ""HasTV"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""NoiseLevel"": ""average"", ""Ambience"": {""touristy"": ""False"", ""hipster"": ""True"", ""romantic"": ""False"", ""intimate"": ""False"", ""trendy"": ""True"", ""upscale"": ""False"", ""classy"": ""False"", ""casual"": ""True""}, ""WiFi"": ""free"", ""RestaurantsReservations"": ""False"", ""RestaurantsAttire"": ""casual"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BikeParking"": ""False"", ""DriveThru"": ""False"", ""RestaurantsTakeOut"": ""True"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""True"", ""dinner"": ""False"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""RestaurantsTableService"": ""False"", ""GoodForKids"": ""True"", ""DogsAllowed"": ""False"", ""RestaurantsDelivery"": ""True"", ""Alcohol"": ""none"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""True"", ""validated"": ""False"", ""lot"": ""False"", ""valet"": ""False""}}","Food, Poke, Fast Food, Sushi Bars, Restaurants, Japanese, Asian Fusion","{""Monday"": ""11:30-22:00"", ""Tuesday"": ""11:30-22:00"", ""Wednesday"": ""11:30-22:00"", ""Thursday"": ""11:30-22:00"", ""Friday"": ""11:30-22:00"", ""Saturday"": ""11:30-22:00"", ""Sunday"": ""11:30-22:00""}",2,1.7985162248931754,204.0,233,0,96,147,0,0,5,2,1,30,2,16,0,5,1,2,0,11,14,1
5JW08_RL9K60Ubo8-8lyVg,Skippa,379 Harbord Street,Toronto,ON,M6G 1H8,43.6587414936,-79.4228415599,4.0,71,1,"{""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""False"", ""dinner"": ""False"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsAttire"": ""casual"", ""OutdoorSeating"": ""True"", ""RestaurantsDelivery"": ""False"", ""RestaurantsTableService"": ""True"", ""WiFi"": ""no"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""True"", ""validated"": ""False"", ""lot"": ""False"", ""valet"": ""False""}, ""Alcohol"": ""beer_and_wine"", ""Caters"": ""False"", ""BikeParking"": ""True"", ""Ambience"": {""touristy"": ""False"", ""hipster"": ""False"", ""romantic"": ""False"", ""intimate"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""classy"": ""False"", ""casual"": ""False""}, ""RestaurantsReservations"": ""True"", ""NoiseLevel"": ""loud"", ""RestaurantsTakeOut"": ""False"", ""HasTV"": ""False"", ""RestaurantsPriceRange2"": ""4"", ""GoodForKids"": ""False""}","Japanese, Sushi Bars, Restaurants","{""Monday"": ""17:30-23:30"", ""Thursday"": ""17:30-23:30"", ""Friday"": ""17:30-23:30"", ""Saturday"": ""17:30-23:30"", ""Sunday"": ""17:30-23:30""}",0,3.5472770301170824,284.0,140,48,48,54,0,0,4,0,0,1,0,14,0,4,0,0,0,0,9,0
K5Q2vkF5UpytV9Q1rB-5Yg,Akira Back,"80 Blue Jays Way, 2nd Floor",Toronto,ON,M5V 2G3,43.6452974,-79.3923967,4.0,124,1,"{""WiFi"": ""no"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""4"", ""RestaurantsReservations"": ""True"", ""GoodForKids"": ""False"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""False"", ""validated"": ""False"", ""lot"": ""False"", ""valet"": ""False""}, ""RestaurantsTakeOut"": ""False"", ""HasTV"": ""True"", ""RestaurantsAttire"": ""casual"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""False"", ""dinner"": ""False"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""NoiseLevel"": ""average"", ""Ambience"": {""touristy"": ""False"", ""hipster"": ""False"", ""romantic"": ""False"", ""intimate"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""classy"": ""True"", ""casual"": ""False""}, ""RestaurantsGoodForGroups"": ""True""}","Restaurants, Japanese, Korean, Asian Fusion",{},1,2.001923644627039,496.0,290,30,0,234,0,4,7,1,0,70,8,44,0,4,2,1,0,6,3,1
4KHo1LnkM69RtWTDBdG16g,31 Kitchen,"10 Ravel Road, Unit 1-2",Toronto,ON,M2H 1S8,43.7903766,-79.365383,3.0,48,0,"{""RestaurantsReservations"": ""True"", ""Caters"": ""False"", ""HasTV"": ""False"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""True"", ""validated"": ""False"", ""lot"": ""True"", ""valet"": ""False""}, ""OutdoorSeating"": ""False"", ""Ambience"": {""romantic"": ""False"", ""intimate"": ""False"", ""classy"": ""False"", ""hipster"": ""False"", ""divey"": ""False"", ""touristy"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""casual"": ""True""}, ""BikeParking"": ""True"", ""WiFi"": ""free"", ""NoiseLevel"": ""average"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsTakeOut"": ""True"", ""GoodForKids"": ""True"", ""Alcohol"": ""none"", ""RestaurantsAttire"": ""casual"", ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsDelivery"": ""True""}","Food, Restaurants, Desserts, Tea Rooms, Asian Fusion, Chinese, Japanese, Ramen, Coffee & Tea","{""Monday"": ""11:30-1:00"", ""Tuesday"": ""11:30-1:00"", ""Wednesday"": ""11:30-1:00"", ""Thursday"": ""11:30-1:00"", ""Friday"": ""11:30-2:00"", ""Saturday"": ""11:00-2:00"", ""Sunday"": ""11:00-1:00""}",0,14.479123341881188,144.0,11,0,4,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0
jCpB1D_Hsc_dlF0ErNO-7w,Kintori Yakitori,"668 Bloor Street W, 2nd Floor",Toronto,ON,M6G 1L2,43.6642003,-79.41635629999998,3.5,47,1,"{""WheelchairAccessible"": ""False"", ""RestaurantsTakeOut"": ""False"", ""GoodForKids"": ""False"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""True"", ""validated"": ""False"", ""lot"": ""False"", ""valet"": ""False""}, ""RestaurantsPriceRange2"": ""2"", ""DogsAllowed"": ""False"", ""RestaurantsReservations"": ""True"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""False"", ""dinner"": ""True"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""RestaurantsAttire"": ""casual"", ""BikeParking"": ""True"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""HasTV"": ""False"", ""WiFi"": ""no"", ""RestaurantsTableService"": ""True"", ""Ambience"": {""romantic"": ""False"", ""intimate"": ""False"", ""classy"": ""False"", ""hipster"": ""False"", ""divey"": ""False"", ""touristy"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""casual"": ""True""}, ""RestaurantsDelivery"": ""False"", ""Alcohol"": ""full_bar"", ""Caters"": ""False"", ""NoiseLevel"": ""loud""}","Tapas/Small Plates, Restaurants, Japanese","{""Monday"": ""18:00-2:00"", ""Tuesday"": ""18:00-2:00"", ""Wednesday"": ""18:00-2:00"", ""Thursday"": ""18:00-2:00"", ""Friday"": ""18:00-2:00"", ""Saturday"": ""18:00-2:00"", ""Sunday"": ""18:00-2:00""}",0,3.04797230125472,164.5,161,32,43,61,0,0,4,0,0,2,0,10,0,2,0,1,0,7,0,0
vcxzcp7D9IiyvyLlwpgvVg,JP Sushi,520 Annette Street,Toronto,ON,M6P 1S3,43.6602286,-79.4798078,4.5,24,1,"{""RestaurantsReservations"": ""False"", ""GoodForKids"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsDelivery"": ""True"", ""RestaurantsGoodForGroups"": ""False"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsTableService"": ""True"", ""WiFi"": ""no"", ""Ambience"": {""touristy"": ""False"", ""hipster"": ""False"", ""romantic"": ""False"", ""intimate"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""classy"": ""True"", ""casual"": ""False""}, ""RestaurantsAttire"": ""casual"", ""HasTV"": ""True"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""False"", ""dinner"": ""False"", ""brunch"": ""False"", ""breakfast"": ""False""}}","Restaurants, Sushi Bars, Japanese","{""Monday"": ""12:00-22:00"", ""Wednesday"": ""12:00-22:00"", ""Thursday"": ""12:00-22:00"", ""Friday"": ""12:00-22:00"", ""Saturday"": ""12:00-22:00"", ""Sunday"": ""12:00-21:00""}",0,8.137329244158607,108.0,65,3,18,31,0,0,3,0,2,1,0,7,0,2,0,0,0,1,5,0
0ED9PlLogo_HYWuoSRaTpw,James Cheese Back Ribs,409 Spadina Ave,Toronto,ON,M5T 2G6,43.65687,-79.39924,3.5,71,0,"{""RestaurantsPriceRange2"": ""2"", ""Ambience"": {""touristy"": ""False"", ""hipster"": ""False"", ""romantic"": ""False"", ""intimate"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""classy"": ""False"", ""casual"": ""True""}, ""RestaurantsDelivery"": ""True"", ""RestaurantsReservations"": ""True"", ""WiFi"": ""no"", ""RestaurantsTableService"": ""True"", ""GoodForKids"": ""True"", ""NoiseLevel"": ""average"", ""HasTV"": ""False"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""True"", ""validated"": ""False"", ""lot"": ""True"", ""valet"": ""False""}, ""RestaurantsTakeOut"": ""True"", ""Caters"": ""False"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""False"", ""dinner"": ""True"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""BikeParking"": ""True"", ""RestaurantsAttire"": ""casual"", ""Alcohol"": ""full_bar""}","Korean, Restaurants, Barbeque, Japanese, Asian Fusion","{""Monday"": ""0:00-0:00"", ""Wednesday"": ""17:00-22:30"", ""Thursday"": ""17:00-22:30"", ""Friday"": ""17:00-23:00"", ""Saturday"": ""17:00-23:00"", ""Sunday"": ""17:00-22:30""}",2,1.6856252780442098,248.5,257,30,106,159,0,11,5,1,0,40,3,19,0,5,2,1,0,10,12,1
02BXFKzu1rgaYulNGYvi6g,Matsuda Japanese Cuisine,5651 Steeles Avenue E,Toronto,ON,M1W 2B4,43.831795518,-79.2663108185,3.0,275,1,"{""RestaurantsPriceRange2"": ""2"", ""Caters"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""Ambience"": {""romantic"": ""False"", ""intimate"": ""False"", ""classy"": ""False"", ""hipster"": ""False"", ""divey"": ""False"", ""touristy"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""casual"": ""True""}, ""NoiseLevel"": ""average"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""OutdoorSeating"": ""False"", ""RestaurantsAttire"": ""casual"", ""GoodForKids"": ""True"", ""WiFi"": ""no"", ""BusinessParking"": {""garage"": ""False"", ""street"": ""False"", ""validated"": ""False"", ""lot"": ""True"", ""valet"": ""False""}, ""RestaurantsTableService"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsReservations"": ""True"", ""BikeParking"": ""True"", ""HasTV"": ""True"", ""Alcohol"": ""beer_and_wine"", ""GoodForMeal"": {""dessert"": ""None"", ""latenight"": ""False"", ""lunch"": ""True"", ""dinner"": ""True"", ""brunch"": ""None"", ""breakfast"": ""False""}}","Restaurants, Japanese","{""Monday"": ""17:00-23:00"", ""Tuesday"": ""17:00-23:00"", ""Wednesday"": ""17:00-23:00"", ""Thursday"": ""17:00-23:00"", ""Friday"": ""17:00-23:00"", ""Saturday"": ""14:30-23:00"", ""Sunday"": ""14:30-23:00""}",0,21.090296553275387,825.0,2,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
3vs6rARRBm-O99y4bryilw,Ichiriki Japanese Restaurant,120 Bloor Street E,Toronto,ON,M4W 1B7,43.6709600776,-79.3838414455,3.5,46,1,"{""Ambience"": {""romantic"": ""False"", ""intimate"": ""False"", ""classy"": ""False"", ""hipster"": ""False"", ""divey"": ""False"", ""touristy"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""casual"": ""True""}, ""WiFi"": ""no"", ""BikeParking"": ""True"", ""GoodForKids"": ""False"", ""HasTV"": ""False"", ""OutdoorSeating"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsGoodForGroups"": ""True"", ""Alcohol"": ""full_bar"", ""RestaurantsReservations"": ""True"", ""RestaurantsDelivery"": ""False"", ""RestaurantsTakeOut"": ""True"", ""NoiseLevel"": ""average"", ""RestaurantsAttire"": ""casual"", ""GoodForMeal"": {""dessert"": ""False"", ""latenight"": ""False"", ""lunch"": ""True"", ""dinner"": ""True"", ""brunch"": ""False"", ""breakfast"": ""False""}, ""Caters"": ""True""}","Japanese, Restaurants","{""Monday"": ""17:30-21:00"", ""Tuesday"": ""11:30-14:00"", ""Wednesday"": ""17:30-21:00"", ""Thursday"": ""17:30-21:00"", ""Friday"": ""17:30-21:00"", ""Saturday"": ""17:30-21:00""}",2,1.235257680299709,161.0,146,9,75,116,0,6,2,0,1,80,0,20,0,2,0,2,0,7,6,0
VcZQXpk6vYAXwemOrC9PTw,Sagano,"2035 Kennedy Road, 14th Floor",Toronto,ON,M1T 3G2,43.776815,-79.28299200000002,3.0,25,0,"{""RestaurantsTakeOut"": ""False"", ""Ambience"": {""romantic"": ""False"", ""intimate"": ""True"", ""classy"": ""False"", ""hipster"": ""False"", ""divey"": ""False"", ""touristy"": ""False"", ""trendy"": ""False"", ""upscale"": ""False"", ""casual"": ""False""}, ""WiFi"": ""no"", ""OutdoorSeating"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsDelivery"": ""False"", ""RestaurantsTableService"": ""True"", ""NoiseLevel"": ""quiet"", ""RestaurantsAttire"": ""casual"", ""HasTV"": ""False"", ""RestaurantsPriceRange2"": ""3"", ""BusinessParking"": {""garage"": ""True"", ""street"": ""False"", ""validated"": ""False"", ""lot"": ""False"", ""valet"": ""False""}, ""DogsAllowed"": ""False"", ""BikeParking"": ""False"", ""Caters"": ""False"", ""GoodForKids"": ""True"", ""Alcohol"": ""full_bar"", ""RestaurantsReservations"": ""True"", ""WheelchairAccessible"": ""False""}","Restaurants, Japanese","{""Tuesday"": ""17:30-21:30"", ""Wednesday"": ""17:30-21:30"", ""Thursday"": ""17:30-21:30"", ""Friday"": ""17:30-21:30"", ""Saturday"": ""17:30-21:30"", ""Sunday"": ""17:30-21:30""}",0,15.06585677349988,75.0,13,1,5,13,0,0,0,0,0,10,0,5,0,0,0,0,0,0,1,0
